race_date,place_code,race_no,category_short,category,manual_reason
2026-04-29,5,6,B,recommended_not_bought,
2026-04-29,5,11,B,recommended_not_bought,
2026-04-30,3,1,B,recommended_not_bought,
2026-04-30,6,3,B,recommended_not_bought,
2026-04-30,6,7,B,recommended_not_bought,
2026-04-30,6,8,B,recommended_not_bought,
2026-04-30,6,10,B,recommended_not_bought,
2026-04-30,6,11,B,recommended_not_bought,
2026-05-01,3,2,B,recommended_not_bought,
2026-05-01,3,4,C,bought_not_recommended,
2026-05-01,3,7,C,bought_not_recommended,
2026-05-01,3,8,A,recommended_and_bought,
2026-05-01,3,11,A,recommended_and_bought,
2026-05-01,3,12,C,bought_not_recommended,
2026-05-01,6,2,A,recommended_and_bought,
2026-05-01,6,5,A,recommended_and_bought,
2026-05-01,6,8,A,recommended_and_bought,
2026-05-01,6,10,B,recommended_not_bought,
2026-05-01,6,12,A,recommended_and_bought,
2026-05-02,3,3,A,recommended_and_bought,
2026-05-02,3,4,A,recommended_and_bought,
2026-05-02,3,5,A,recommended_and_bought,
2026-05-02,6,1,B,recommended_not_bought,
2026-05-02,6,5,A,recommended_and_bought,
2026-05-02,6,10,C,bought_not_recommended,
2026-05-03,2,5,B,recommended_not_bought,
2026-05-03,2,7,B,recommended_not_bought,
2026-05-03,2,9,A,recommended_and_bought,
2026-05-03,2,10,A,recommended_and_bought,
2026-05-03,5,2,B,recommended_not_bought,
2026-05-03,5,3,B,recommended_not_bought,
2026-05-03,5,8,B,recommended_not_bought,
2026-05-03,6,2,B,recommended_not_bought,
2026-05-03,6,3,B,recommended_not_bought,
2026-05-04,2,6,A,recommended_and_bought,
2026-05-04,2,7,A,recommended_and_bought,
2026-05-04,2,8,B,recommended_not_bought,
2026-05-04,5,1,A,recommended_and_bought,
2026-05-04,5,2,A,recommended_and_bought,
2026-05-04,5,3,A,recommended_and_bought,
2026-05-04,5,4,A,recommended_and_bought,
2026-05-04,5,6,C,bought_not_recommended,
2026-05-04,5,7,A,recommended_and_bought,
2026-05-04,5,11,B,recommended_not_bought,
2026-05-04,6,5,B,recommended_not_bought,
2026-05-04,6,6,C,bought_not_recommended,
