place_code,race_no,votes_median,votes_mean,n_obs,rec_yen_10pct,rec_yen_5pct
2,1,7.0,25.687898089171973,157,100,0
2,2,7.0,19.573248407643312,157,100,0
2,3,9.0,52.58227848101266,158,100,0
2,4,9.5,34.49375,160,100,100
2,5,10.0,34.7125,160,100,100
2,6,11.5,52.426829268292686,164,100,100
2,7,11.0,156.23493975903614,166,100,100
2,8,14.5,251.62048192771084,166,200,100
2,9,17.0,64.95652173913044,115,200,100
2,10,18.0,155.41592920353983,113,200,100
2,11,27.0,322.76521739130436,115,300,100
2,12,34.0,577.7565217391304,115,400,200
3,1,6.0,30.5177304964539,141,100,0
3,2,7.0,24.77304964539007,141,100,0
3,3,7.0,27.283783783783782,148,100,0
3,4,8.0,30.398692810457515,153,100,0
3,5,7.0,30.743589743589745,156,100,0
3,6,9.0,30.98125,160,100,0
3,7,10.0,47.550632911392405,158,100,100
3,8,12.0,160.7,160,100,100
3,9,11.0,68.74603174603175,126,100,100
3,10,13.0,85.24603174603175,126,100,100
3,11,13.5,167.5241935483871,124,100,100
3,12,21.0,419.1190476190476,126,200,100
4,1,8.0,40.572463768115945,138,100,0
4,2,9.0,22.913669064748202,139,100,0
4,3,8.0,20.1294964028777,139,100,0
4,4,11.0,85.06474820143885,139,100,100
4,5,9.0,52.99270072992701,137,100,0
4,6,11.0,35.70503597122302,139,100,100
4,7,11.0,54.589928057553955,139,100,100
4,8,12.0,102.74820143884892,139,100,100
4,9,12.0,154.20143884892087,139,100,100
4,10,22.0,354.7983870967742,124,200,100
4,11,26.0,405.048,125,300,100
4,12,31.0,714.456,125,300,200
5,1,5.0,27.235772357723576,246,100,0
5,2,5.0,24.867469879518072,249,100,0
5,3,6.0,24.9,250,100,0
5,4,6.0,27.396825396825395,252,100,0
5,5,6.0,30.69685039370079,254,100,0
5,6,6.0,23.264,250,100,0
5,7,6.5,40.89370078740158,254,100,0
5,8,9.0,95.7609561752988,251,100,0
5,9,12.0,61.110344827586204,145,100,100
5,10,12.0,122.04411764705883,136,100,100
5,11,13.0,149.86029411764707,136,100,100
5,12,23.0,214.20149253731344,134,300,100
6,1,6.0,36.12068965517241,174,100,0
6,2,7.0,38.53142857142857,175,100,0
6,3,6.0,38.46551724137931,174,100,0
6,4,7.0,43.84659090909091,176,100,0
6,5,6.0,30.602272727272727,176,100,0
6,6,6.0,39.32954545454545,176,100,0
6,7,5.0,54.30113636363637,176,100,0
6,8,7.0,141.44252873563218,174,100,0
6,9,8.0,172.60714285714286,168,100,0
6,10,9.0,50.141304347826086,92,100,0
6,11,8.5,145.32608695652175,92,100,0
6,12,14.0,157.3913043478261,92,200,100
